Lift	Drag	Velocity	Time (s)
40.702373	8.478635	48.006121	0.000000
40.933595	11.740436	48.006121	0.250000
39.584426	16.438955	48.006121	0.500000
40.823596	12.950422	48.006121	0.750000
40.958288	10.146576	48.006121	1.000000
40.834820	11.163503	48.006121	1.250000
41.021145	12.339817	48.006121	1.500000
40.980737	15.103256	48.006121	1.750000
40.899922	14.535303	48.006121	2.000000
40.758495	15.422027	48.006121	2.250000
40.951554	14.090818	48.006121	2.500000
41.018900	9.408013	48.006121	2.750000
41.014410	11.796558	48.006121	3.000000
40.691148	8.595369	48.006121	3.250000
40.819106	13.823678	48.006121	3.500000
40.895432	9.769437	48.006121	3.750000
40.695638	11.396970	48.006121	4.000000
40.789923	12.353286	48.006121	4.250000
41.034614	13.756332	48.006121	4.500000
40.430743	16.748747	48.006121	4.750000
41.007676	10.730243	48.006121	5.000000
39.887484	10.359839	48.006121	5.250000
40.749515	11.399215	48.006121	5.500000
41.005431	10.649427	48.006121	5.750000
40.967268	11.664110	48.006121	6.000000
41.036859	8.673939	48.006121	6.250000
40.926860	8.514553	48.006121	6.500000
41.021145	7.093548	48.006121	6.750000
40.985227	8.301290	48.006121	7.000000
40.987472	17.155069	48.006121	7.250000
40.969513	12.429612	48.006121	7.500000
40.484620	12.826954	48.006121	7.750000
41.018900	13.215317	48.006121	8.000000
40.942574	11.749415	48.006121	8.250000
40.771964	7.789459	48.006121	8.500000
40.976247	14.369182	48.006121	8.750000
41.007676	9.286789	48.006121	9.000000
41.003186	12.568794	48.006121	9.250000
40.875228	7.894968	48.006121	9.500000
41.023390	11.426153	48.006121	9.750000
40.953799	14.373672	48.006121	10.000000
40.432988	9.526991	48.006121	10.250000
38.295869	11.010852	48.006121	10.500000
40.670945	7.068855	48.006121	10.750000
40.233194	12.927974	48.006121	11.000000
40.841555	18.104651	48.006121	11.250000
40.994206	11.556356	48.006121	11.500000
40.958288	13.183889	48.006121	11.750000
40.635027	12.144513	48.006121	12.000000
40.771964	13.127767	48.006121	12.250000
40.971758	13.424090	48.006121	12.500000
41.034614	10.882894	48.006121	12.750000
40.583395	10.752692	48.006121	13.000000
40.978492	11.536152	48.006121	13.250000
40.996451	16.043857	48.006121	13.500000
41.025635	10.752692	48.006121	13.750000
40.585639	13.888779	48.006121	14.000000
40.991961	8.979242	48.006121	14.250000
40.866249	17.166294	48.006121	14.500000
40.987472	13.720414	48.006121	14.750000
40.951554	11.749415	48.006121	15.000000
40.971758	15.031420	48.006121	15.250000
40.868493	11.423909	48.006121	15.500000
40.484620	13.794495	48.006121	15.750000
40.823596	11.729211	48.006121	16.000000
40.989717	11.399215	48.006121	16.250000
40.924615	12.254512	48.006121	16.500000
40.886452	13.385928	48.006121	16.750000
40.754005	11.962678	48.006121	17.000000
40.787678	14.551017	48.006121	17.250000
40.603598	10.373308	48.006121	17.500000
40.825841	11.336359	48.006121	17.750000
40.778698	12.438591	48.006121	18.000000
40.596864	7.333750	48.006121	18.250000
40.967268	17.646697	48.006121	18.500000
40.978492	11.060239	48.006121	18.750000
40.758495	17.132621	48.006121	19.000000
40.924615	15.047134	48.006121	19.250000
40.940329	9.580868	48.006121	19.500000
40.935840	12.972871	48.006121	19.750000
39.941361	12.032269	48.006121	20.000000
41.005431	12.012065	48.006121	20.250000
40.361152	7.616604	48.006121	20.500000
40.765229	13.410621	48.006121	20.750000
40.511559	13.112053	48.006121	21.000000
40.949309	8.462921	48.006121	21.250000
40.875228	11.751660	48.006121	21.500000
41.014410	8.402309	48.006121	21.750000
41.005431	9.387809	48.006121	22.000000
40.765229	13.107563	48.006121	22.250000
40.991961	14.577955	48.006121	22.500000
41.003186	10.296982	48.006121	22.750000
40.709107	13.493682	48.006121	23.000000
41.032369	11.318400	48.006121	23.250000
39.835852	10.097189	48.006121	23.500000
40.841555	12.250022	48.006121	23.750000
40.686659	14.018982	48.006121	24.000000
40.619313	10.411471	48.006121	24.250000
40.956043	12.056963	48.006121	24.500000
40.307275	11.405950	48.006121	24.750000
40.967268	11.796558	48.006121	25.000000
40.985227	9.275565	48.006121	25.250000
40.711352	15.202030	48.006121	25.500000
40.877473	11.138810	48.006121	25.750000
41.039104	13.531844	48.006121	26.000000
40.145644	10.483307	48.006121	26.250000
40.864004	9.897395	48.006121	26.500000
40.789923	8.034150	48.006121	26.750000
40.974002	9.993924	48.006121	27.000000
40.785433	13.621639	48.006121	27.250000
40.872983	7.437014	48.006121	27.500000
40.058094	11.405950	48.006121	27.750000
39.218512	13.394907	48.006121	28.000000
39.472182	11.807782	48.006121	28.250000
40.067074	7.805173	48.006121	28.500000
40.455437	16.582627	48.006121	28.750000
40.841555	11.262278	48.006121	29.000000
40.935840	12.694507	48.006121	29.250000
40.991961	10.869425	48.006121	29.500000
40.783188	13.522865	48.006121	29.750000
40.459927	13.563273	48.006121	30.000000
40.875228	11.188197	48.006121	30.250000
40.670945	6.819674	48.006121	30.500000
40.976247	12.694507	48.006121	30.750000
40.718087	11.794313	48.006121	31.000000
40.823596	11.127585	48.006121	31.250000
40.933595	12.003086	48.006121	31.500000
40.830331	15.740799	48.006121	31.750000
40.852779	11.798802	48.006121	32.000000
40.947064	16.131407	48.006121	32.250000
40.776454	10.961465	48.006121	32.500000
40.834820	9.787396	48.006121	32.750000
40.320744	11.740436	48.006121	33.000000
40.013197	7.524564	48.006121	33.250000
40.780943	10.317186	48.006121	33.500000
40.969513	13.686741	48.006121	33.750000
40.787678	9.657194	48.006121	34.000000
