Lift	Drag	Velocity	Time (s)
97.683985	79.989066	48.006121	0.000000
97.481947	81.908433	48.006121	0.250000
88.004093	77.932762	48.006121	0.500000
86.098196	77.712765	48.006121	0.750000
91.364668	79.259482	48.006121	1.000000
92.134659	73.764033	48.006121	1.250000
86.452885	80.882526	48.006121	1.500000
86.039829	76.464615	48.006121	1.750000
85.992687	75.532993	48.006121	2.000000
85.963503	76.624001	48.006121	2.250000
85.941054	74.812389	48.006121	2.500000
86.367580	78.379492	48.006121	2.750000
85.976972	73.146693	48.006121	3.000000
86.367580	81.277623	48.006121	3.250000
86.008401	80.195594	48.006121	3.500000
85.997176	79.533357	48.006121	3.750000
86.345132	80.175391	48.006121	4.000000
94.868915	80.033964	48.006121	4.250000
85.965748	78.763365	48.006121	4.500000
85.997176	75.869724	48.006121	4.750000
85.678404	76.262577	48.006121	5.000000
86.010646	80.900485	48.006121	5.250000
86.868187	76.374820	48.006121	5.500000
85.976972	75.488096	48.006121	5.750000
85.950034	78.460308	48.006121	6.000000
85.945544	76.002172	48.006121	6.250000
85.956769	74.626064	48.006121	6.500000
85.653711	75.063815	48.006121	6.750000
90.803449	78.859895	48.006121	7.000000
85.970238	78.907037	48.006121	7.250000
86.399009	77.609501	48.006121	7.500000
98.184592	81.802923	48.006121	7.750000
96.200124	82.013942	48.006121	8.000000
86.297989	73.402609	48.006121	8.250000
85.988197	78.660101	48.006121	8.500000
85.905136	73.889746	48.006121	8.750000
85.806362	72.585475	48.006121	9.000000
86.012890	72.502414	48.006121	9.250000
97.214807	73.301589	48.006121	9.500000
98.447242	81.445989	48.006121	9.750000
93.959741	75.005448	48.006121	10.000000
85.947789	72.704453	48.006121	10.250000
85.932075	74.183824	48.006121	10.500000
85.889422	73.092816	48.006121	10.750000
88.967143	77.387258	48.006121	11.000000
85.934320	74.152396	48.006121	11.250000
86.407988	72.825676	48.006121	11.500000
94.779120	80.828649	48.006121	11.750000
94.738712	83.551680	48.006121	12.000000
86.093706	76.365841	48.006121	12.250000
85.974728	71.718954	48.006121	12.500000
86.116155	75.158099	48.006121	12.750000
85.952279	75.770950	48.006121	13.000000
85.963503	74.174845	48.006121	13.250000
86.010646	72.870574	48.006121	13.500000
92.801386	79.515398	48.006121	13.750000
86.785127	74.273619	48.006121	14.000000
86.286765	79.353767	48.006121	14.250000
86.331662	78.424390	48.006121	14.500000
85.963503	71.525895	48.006121	14.750000
88.922246	78.493981	48.006121	15.000000
86.012890	73.615871	48.006121	15.250000
86.145338	75.627278	48.006121	15.500000
100.824563	82.079043	48.006121	15.750000
95.484010	78.406431	48.006121	16.000000
87.644913	82.413529	48.006121	16.250000
86.872677	74.028928	48.006121	16.500000
95.506458	82.290061	48.006121	16.750000
86.221664	76.857468	48.006121	17.000000
90.457739	79.910496	48.006121	17.250000
85.909626	75.207486	48.006121	17.500000
85.941054	75.398301	48.006121	17.750000
85.976972	75.479116	48.006121	18.000000
96.164206	77.930517	48.006121	18.250000
91.272628	76.320944	48.006121	18.500000
87.718994	78.130311	48.006121	18.750000
85.907381	73.499138	48.006121	19.000000
85.840035	71.613445	48.006121	19.250000
88.345313	78.974383	48.006121	19.500000
86.161052	72.453027	48.006121	19.750000
85.893912	78.312146	48.006121	20.000000
86.131869	76.435432	48.006121	20.250000
85.954524	73.231998	48.006121	20.500000
85.970238	74.821368	48.006121	20.750000
85.889422	75.748501	48.006121	21.000000
89.714686	80.482938	48.006121	21.250000
85.972483	74.298313	48.006121	21.500000
86.134114	78.520919	48.006121	21.750000
85.909626	75.000958	48.006121	22.000000
90.035703	81.122727	48.006121	22.250000
95.333603	79.598458	48.006121	22.500000
90.161416	80.700691	48.006121	22.750000
105.260432	81.017218	48.006121	23.000000
92.484859	82.330469	48.006121	23.250000
90.749573	78.047251	48.006121	23.500000
86.275541	75.559932	48.006121	23.750000
86.378805	72.713433	48.006121	24.000000
86.196970	73.555260	48.006121	24.250000
92.980976	81.782720	48.006121	24.500000
97.443784	76.134619	48.006121	24.750000
99.677433	82.121695	48.006121	25.000000
94.139331	79.353767	48.006121	25.250000
87.027573	78.871119	48.006121	25.500000
86.717781	79.778048	48.006121	25.750000
85.927585	72.488945	48.006121	26.000000
85.588609	72.302621	48.006121	26.250000
85.947789	74.221987	48.006121	26.500000
91.501605	79.879067	48.006121	26.750000
86.800841	78.904792	48.006121	27.000000
87.267774	79.088872	48.006121	27.250000
86.048808	74.206273	48.006121	27.500000
