Lift	Drag	Velocity	Time (s)
41.396039	23.835812	48.006121	0.000000
41.490323	25.061512	48.006121	0.250000
41.521751	25.467834	48.006121	0.500000
41.117674	24.307235	48.006121	0.750000
42.446639	25.153552	48.006121	1.000000
41.259101	23.514795	48.006121	1.250000
41.625016	25.793341	48.006121	1.500000
42.936021	25.523956	48.006121	1.750000
41.598077	26.055991	48.006121	2.000000
41.499303	26.188439	48.006121	2.250000
41.214204	22.282360	48.006121	2.500000
41.254612	24.677639	48.006121	2.750000
41.405018	25.865177	48.006121	3.000000
41.959502	23.602345	48.006121	3.250000
41.265836	23.413776	48.006121	3.500000
41.616036	26.053746	48.006121	3.750000
42.718269	25.160287	48.006121	4.000000
41.281550	22.349706	48.006121	4.250000
41.247877	25.963951	48.006121	4.500000
41.418487	25.910074	48.006121	4.750000
43.349078	26.204153	48.006121	5.000000
41.564404	26.350069	48.006121	5.250000
41.838279	23.840301	48.006121	5.500000
41.339917	25.883136	48.006121	5.750000
42.062766	22.720110	48.006121	6.000000
41.236653	25.303959	48.006121	6.250000
41.447671	23.478877	48.006121	6.500000
41.086246	25.312938	48.006121	6.750000
41.339917	22.264401	48.006121	7.000000
41.137878	21.274412	48.006121	7.250000
41.952767	25.115389	48.006121	7.500000
41.479099	25.254571	48.006121	7.750000
41.770932	26.293948	48.006121	8.000000
42.004399	25.950482	48.006121	8.250000
41.292774	25.815790	48.006121	8.500000
41.335427	24.426213	48.006121	8.750000
41.194000	23.970504	48.006121	9.000000
41.656444	26.208642	48.006121	9.250000
41.454405	24.866208	48.006121	9.500000
43.037041	21.783998	48.006121	9.750000
41.191755	24.511518	48.006121	10.000000
42.545414	24.940289	48.006121	10.250000
41.227673	25.315183	48.006121	10.500000
41.171551	21.680734	48.006121	10.750000
41.279305	25.559874	48.006121	11.000000
42.637453	25.853953	48.006121	11.250000
41.360121	24.531722	48.006121	11.500000
41.124409	23.880709	48.006121	11.750000
41.517262	25.654159	48.006121	12.000000
41.878686	25.600282	48.006121	12.250000
41.476854	24.969473	48.006121	12.500000
41.173796	23.043371	48.006121	12.750000
41.068287	25.741709	48.006121	13.000000
41.191755	23.297042	48.006121	13.250000
41.241142	25.934768	48.006121	13.500000
41.463385	26.087419	48.006121	13.750000
41.348896	26.336600	48.006121	14.000000
41.158082	24.179277	48.006121	14.250000
41.746239	26.269254	48.006121	14.500000
41.443181	26.024563	48.006121	14.750000
41.229918	25.804565	48.006121	15.000000
41.162572	26.183949	48.006121	15.250000
41.101960	24.313970	48.006121	15.500000
42.657657	26.064971	48.006121	15.750000
41.775422	25.005391	48.006121	16.000000
41.449916	26.323131	48.006121	16.250000
41.616036	25.813545	48.006121	16.500000
41.151347	26.134562	48.006121	16.750000
41.086246	24.491315	48.006121	17.000000
41.142368	26.316396	48.006121	17.250000
41.117674	23.438469	48.006121	17.500000
41.265836	25.654159	48.006121	17.750000
41.113185	24.626007	48.006121	18.000000
41.483589	24.733761	48.006121	18.250000
41.088491	25.140083	48.006121	18.500000
41.198490	25.400488	48.006121	18.750000
41.205224	25.638445	48.006121	19.000000
41.088491	26.287213	48.006121	19.250000
42.635208	26.078440	48.006121	19.500000
41.229918	25.193960	48.006121	19.750000
41.117674	25.514977	48.006121	20.000000
41.211959	21.635836	48.006121	20.250000
41.245632	25.651914	48.006121	20.500000
42.325416	25.003146	48.006121	20.750000
41.582363	25.999869	48.006121	21.000000
41.454405	23.997443	48.006121	21.250000
41.782157	23.409286	48.006121	21.500000
41.402773	26.287213	48.006121	21.750000
41.786646	23.256634	48.006121	22.000000
41.330937	25.604772	48.006121	22.250000
42.222152	24.098462	48.006121	22.500000
41.400528	24.358867	48.006121	22.750000
41.259101	24.412744	48.006121	23.000000
41.124409	24.980697	48.006121	23.250000
41.171551	25.903340	48.006121	23.500000
