Lift	Drag	Velocity	Time (s)
83.898220	70.122849	48.006121	0.000000
78.656441	63.846184	48.006121	0.250000
76.999725	68.450419	48.006121	0.500000
86.149828	65.960854	48.006121	0.750000
90.094070	70.679578	48.006121	1.000000
88.529393	71.413651	48.006121	1.250000
98.678464	68.982454	48.006121	1.500000
91.497115	70.627945	48.006121	1.750000
90.509371	68.401031	48.006121	2.000000
98.386631	71.355284	48.006121	2.250000
87.532669	68.537969	48.006121	2.500000
84.255155	67.310023	48.006121	2.750000
84.677191	71.404672	48.006121	3.000000
85.510039	66.513093	48.006121	3.250000
85.669425	70.708761	48.006121	3.500000
85.606568	68.055321	48.006121	3.750000
86.924309	68.751232	48.006121	4.000000
86.367580	71.348550	48.006121	4.250000
88.657351	71.411406	48.006121	4.500000
92.047109	67.871241	48.006121	4.750000
102.389239	71.750382	48.006121	5.000000
87.357569	67.195535	48.006121	5.250000
89.620401	71.981604	48.006121	5.500000
89.631626	70.470804	48.006121	5.750000
84.407806	64.964131	48.006121	6.000000
85.927585	68.838782	48.006121	6.250000
83.970056	69.806322	48.006121	6.500000
85.312490	71.005084	48.006121	6.750000
84.214747	64.840663	48.006121	7.000000
85.754730	68.248380	48.006121	7.250000
83.110270	66.135954	48.006121	7.500000
85.352898	68.230421	48.006121	7.750000
85.498814	70.118359	48.006121	8.000000
85.941054	70.068972	48.006121	8.250000
85.831056	66.124730	48.006121	8.500000
79.397250	66.320034	48.006121	8.750000
83.824139	65.646572	48.006121	9.000000
86.212684	70.697537	48.006121	9.250000
98.797442	68.326951	48.006121	9.500000
95.656865	71.777320	48.006121	9.750000
90.239986	71.454059	48.006121	10.000000
86.679618	66.798192	48.006121	10.250000
85.967993	68.266339	48.006121	10.500000
83.422307	68.154095	48.006121	10.750000
85.936565	68.986943	48.006121	11.000000
86.430437	65.819427	48.006121	11.250000
84.196788	67.547980	48.006121	11.500000
94.002394	68.511030	48.006121	11.750000
97.578476	74.260150	48.006121	12.000000
85.961258	69.260818	48.006121	12.250000
86.080237	70.767128	48.006121	12.500000
85.997176	70.668353	48.006121	12.750000
85.667180	66.537787	48.006121	13.000000
84.181074	66.337993	48.006121	13.250000
83.628835	69.215920	48.006121	13.500000
79.554391	66.037180	48.006121	13.750000
70.098985	65.083109	48.006121	14.000000
83.934138	64.631890	48.006121	14.250000
78.467872	64.741888	48.006121	14.500000
75.549537	67.029414	48.006121	14.750000
88.361028	71.211612	48.006121	15.000000
87.018594	70.331622	48.006121	15.250000
85.857994	68.124912	48.006121	15.500000
75.679740	65.343514	48.006121	15.750000
83.040678	67.242677	48.006121	16.000000
85.743506	66.627582	48.006121	16.250000
82.046200	69.254083	48.006121	16.500000
85.404530	69.121636	48.006121	16.750000
73.989350	66.513093	48.006121	17.000000
84.077810	68.618784	48.006121	17.250000
79.201946	66.286361	48.006121	17.500000
82.555786	66.730846	48.006121	17.750000
89.631626	70.796311	48.006121	18.000000
86.349621	68.093484	48.006121	18.250000
87.061246	71.411406	48.006121	18.500000
84.084544	63.148028	48.006121	18.750000
86.850228	70.129584	48.006121	19.000000
85.642486	67.101250	48.006121	19.250000
85.213716	68.957760	48.006121	19.500000
84.515560	65.857590	48.006121	19.750000
97.796229	71.357529	48.006121	20.000000
88.603474	71.335080	48.006121	20.250000
87.604505	71.229571	48.006121	20.500000
86.993900	68.901638	48.006121	20.750000
85.649221	68.874700	48.006121	21.000000
85.967993	67.857772	48.006121	21.250000
90.336516	70.870392	48.006121	21.500000
84.859026	68.948780	48.006121	21.750000
75.789739	66.809416	48.006121	22.000000
94.812793	64.503932	48.006121	22.250000
93.176280	71.606710	48.006121	22.500000
85.994931	69.281022	48.006121	22.750000
87.537159	70.235093	48.006121	23.000000
86.852473	70.749169	48.006121	23.250000
90.864061	68.401031	48.006121	23.500000
85.242899	69.379796	48.006121	23.750000
79.444392	63.347822	48.006121	24.000000
82.459256	68.165320	48.006121	24.250000
85.853504	69.045310	48.006121	24.500000
85.813097	68.944291	48.006121	24.750000
80.169486	69.626732	48.006121	25.000000
91.409565	69.135105	48.006121	25.250000
100.007429	73.366691	48.006121	25.500000
93.432196	68.677151	48.006121	25.750000
85.730036	70.006116	48.006121	26.000000
78.211957	64.016794	48.006121	26.250000
80.777846	67.130433	48.006121	26.500000
82.966598	66.636561	48.006121	26.750000
86.021870	67.570428	48.006121	27.000000
86.026360	69.799587	48.006121	27.250000
85.669425	71.276714	48.006121	27.500000
79.161538	66.959823	48.006121	27.750000
80.555604	65.945140	48.006121	28.000000
81.756611	70.187950	48.006121	28.250000
83.635570	66.676969	48.006121	28.500000
85.604323	67.698386	48.006121	28.750000
85.943299	70.881616	48.006121	29.000000
86.690842	68.484092	48.006121	29.250000
85.961258	70.785087	48.006121	29.500000
84.735558	64.773317	48.006121	29.750000
