Lift	Drag	Velocity	Time (s)
76.110755	63.383740	48.006121	0.000000
81.915997	54.397513	48.006121	0.250000
85.797383	69.092452	48.006121	0.500000
81.121312	63.727206	48.006121	0.750000
87.388998	68.255115	48.006121	1.000000
92.877712	65.924936	48.006121	1.250000
86.111665	59.695414	48.006121	1.500000
84.814128	64.173935	48.006121	1.750000
85.900647	63.680063	48.006121	2.000000
85.932075	69.521223	48.006121	2.250000
85.826566	65.390657	48.006121	2.500000
85.575140	62.541913	48.006121	2.750000
84.861271	66.073098	48.006121	3.000000
86.385539	66.663500	48.006121	3.250000
85.474121	63.208640	48.006121	3.500000
84.068830	58.451754	48.006121	3.750000
81.981098	64.133528	48.006121	4.000000
86.024115	67.736549	48.006121	4.250000
85.599834	62.061510	48.006121	4.500000
74.142002	57.717681	48.006121	4.750000
74.310367	61.650698	48.006121	5.000000
80.528666	61.951511	48.006121	5.250000
86.230643	63.172722	48.006121	5.500000
86.111665	64.411892	48.006121	5.750000
85.934320	62.577831	48.006121	6.000000
85.849015	66.156158	48.006121	6.250000
97.026238	61.417231	48.006121	6.500000
85.281062	62.750686	48.006121	6.750000
78.054815	63.641901	48.006121	7.000000
84.993718	60.719076	48.006121	7.250000
84.876985	62.768645	48.006121	7.500000
76.701157	56.747895	48.006121	7.750000
84.894944	64.407402	48.006121	8.000000
80.824989	58.056656	48.006121	8.250000
85.507794	64.104344	48.006121	8.500000
83.175371	65.745347	48.006121	8.750000
76.573199	57.701966	48.006121	9.000000
84.080055	67.244922	48.006121	9.250000
82.605173	60.171327	48.006121	9.500000
72.474061	61.262335	48.006121	9.750000
68.585941	56.750140	48.006121	10.000000
79.682348	62.229875	48.006121	10.250000
84.428010	66.174117	48.006121	10.500000
87.121858	62.658646	48.006121	10.750000
88.017562	68.544703	48.006121	11.000000
85.976972	64.822704	48.006121	11.250000
78.115427	63.882102	48.006121	11.500000
85.869219	66.488400	48.006121	11.750000
84.425765	67.253901	48.006121	12.000000
85.245144	62.119877	48.006121	12.250000
86.044319	63.421903	48.006121	12.500000
85.945544	69.801832	48.006121	12.750000
85.972483	65.844121	48.006121	13.000000
80.151527	62.831501	48.006121	13.250000
84.113728	67.460430	48.006121	13.500000
79.100926	56.310145	48.006121	13.750000
85.976972	64.405157	48.006121	14.000000
86.933288	64.299648	48.006121	14.250000
85.379836	66.362687	48.006121	14.500000
75.545047	60.169082	48.006121	14.750000
77.051357	64.872091	48.006121	15.000000
77.691146	61.181520	48.006121	15.250000
74.463019	58.031963	48.006121	15.500000
85.570650	63.951693	48.006121	15.750000
83.640060	61.603556	48.006121	16.000000
84.915147	62.454363	48.006121	16.250000
76.988501	65.244740	48.006121	16.500000
79.276026	58.748077	48.006121	16.750000
85.703098	63.134559	48.006121	17.000000
86.798596	62.649667	48.006121	17.250000
86.273296	64.613931	48.006121	17.500000
79.004397	60.258877	48.006121	17.750000
83.328022	62.550892	48.006121	18.000000
78.726032	63.430882	48.006121	18.250000
79.403984	58.613385	48.006121	18.500000
84.068830	62.791094	48.006121	18.750000
78.052571	59.800923	48.006121	19.000000
85.662690	66.490644	48.006121	19.250000
77.305028	60.579894	48.006121	19.500000
81.873344	59.578680	48.006121	19.750000
84.219237	63.345577	48.006121	20.000000
85.182287	64.847397	48.006121	20.250000
82.845375	63.469045	48.006121	20.500000
84.293318	65.264944	48.006121	20.750000
83.873526	64.995559	48.006121	21.000000
85.880443	63.830470	48.006121	21.250000
86.309214	64.622910	48.006121	21.500000
81.042741	61.123153	48.006121	21.750000
85.094737	61.343151	48.006121	22.000000
87.364304	59.917656	48.006121	22.250000
89.447546	65.891263	48.006121	22.500000
90.810184	65.774530	48.006121	22.750000
91.943845	63.767613	48.006121	23.000000
84.890454	63.161498	48.006121	23.250000
83.491898	62.892113	48.006121	23.500000
84.533519	59.026442	48.006121	23.750000
86.082481	67.033904	48.006121	24.000000
84.710864	60.216224	48.006121	24.250000
78.537463	61.576617	48.006121	24.500000
84.232706	64.735154	48.006121	24.750000
77.037888	62.254569	48.006121	25.000000
78.847256	61.370089	48.006121	25.250000
81.617429	58.424816	48.006121	25.500000
85.251878	65.469227	48.006121	25.750000
78.225426	58.792975	48.006121	26.000000
74.947911	61.837023	48.006121	26.250000
74.146491	62.714768	48.006121	26.500000
86.109420	68.349399	48.006121	26.750000
85.718812	65.487186	48.006121	27.000000
79.745205	60.375610	48.006121	27.250000
85.516773	67.763487	48.006121	27.500000
85.947789	63.004357	48.006121	27.750000
81.682530	61.866206	48.006121	28.000000
85.177798	61.668657	48.006121	28.250000
73.654864	61.051317	48.006121	28.500000
75.807698	61.711310	48.006121	28.750000
79.383780	61.307233	48.006121	29.000000
76.483404	61.558658	48.006121	29.250000
81.399676	63.783328	48.006121	29.500000
86.973696	65.053926	48.006121	29.750000
86.131869	60.319488	48.006121	30.000000
86.008401	68.414501	48.006121	30.250000
