Lift	Drag	Velocity	Time (s)
74.885055	25.862932	48.006121	0.000000
71.315707	19.707490	48.006121	0.250000
67.187385	17.027112	48.006121	0.500000
69.627562	18.028325	48.006121	0.750000
70.996935	21.705427	48.006121	1.000000
68.049416	18.221384	48.006121	1.250000
66.623922	19.999324	48.006121	1.500000
72.572835	23.025413	48.006121	1.750000
71.735498	15.767738	48.006121	2.000000
68.419820	23.323981	48.006121	2.250000
67.207589	16.764462	48.006121	2.500000
68.942876	19.328107	48.006121	2.750000
67.984315	18.261792	48.006121	3.000000
69.849804	20.897273	48.006121	3.250000
71.329176	19.743408	48.006121	3.500000
69.185322	16.887930	48.006121	3.750000
70.049598	20.398911	48.006121	4.000000
69.066344	21.168902	48.006121	4.250000
67.721665	21.516858	48.006121	4.500000
69.021446	24.677639	48.006121	4.750000
68.193088	20.327075	48.006121	5.000000
69.463686	20.264219	48.006121	5.250000
67.212079	19.087905	48.006121	5.500000
69.091037	18.645665	48.006121	5.750000
68.197578	22.051138	48.006121	6.000000
68.487167	14.292856	48.006121	6.250000
70.372860	20.461767	48.006121	6.500000
74.514651	20.309116	48.006121	6.750000
72.898342	22.100525	48.006121	7.000000
69.937354	20.185648	48.006121	7.250000
67.537585	22.729089	48.006121	7.500000
73.632416	20.957884	48.006121	7.750000
67.833908	19.465044	48.006121	8.000000
67.510647	18.935254	48.006121	8.250000
67.068407	21.296860	48.006121	8.500000
70.244902	21.366451	48.006121	8.750000
71.766926	20.210342	48.006121	9.000000
67.894520	21.465226	48.006121	9.250000
72.123861	18.818520	48.006121	9.500000
69.564706	22.021954	48.006121	9.750000
70.891426	21.694203	48.006121	10.000000
73.046504	19.256271	48.006121	10.250000
74.166695	23.997443	48.006121	10.500000
69.100017	23.070310	48.006121	10.750000
73.235073	20.960129	48.006121	11.000000
68.783490	21.445022	48.006121	11.250000
65.633933	21.002782	48.006121	11.500000
68.060641	24.839270	48.006121	11.750000
67.892275	18.890356	48.006121	12.000000
68.220027	19.694021	48.006121	12.250000
68.049416	21.795222	48.006121	12.500000
75.006278	24.024381	48.006121	12.750000
66.935959	25.961706	48.006121	13.000000
67.135753	20.524624	48.006121	13.250000
71.147341	19.411167	48.006121	13.500000
74.905259	21.308085	48.006121	13.750000
70.810610	19.729939	48.006121	14.000000
69.331239	20.726663	48.006121	14.250000
70.040619	20.883804	48.006121	14.500000
70.233678	19.485248	48.006121	14.750000
69.784703	23.184798	48.006121	15.000000
66.612698	22.455215	48.006121	15.250000
68.790224	16.093245	48.006121	15.500000
65.923521	18.477300	48.006121	15.750000
76.793197	19.249536	48.006121	16.000000
68.383902	22.450725	48.006121	16.250000
73.668333	19.920753	48.006121	16.500000
73.728945	19.054232	48.006121	16.750000
71.971209	23.860505	48.006121	17.000000
72.040801	20.731152	48.006121	17.250000
72.761405	23.454183	48.006121	17.500000
71.621009	19.269740	48.006121	17.750000
69.703888	16.223447	48.006121	18.000000
70.642245	19.667082	48.006121	18.250000
68.475942	22.396848	48.006121	18.500000
74.191389	23.712344	48.006121	18.750000
68.089824	22.210524	48.006121	19.000000
69.293076	22.392358	48.006121	19.250000
68.931651	20.412380	48.006121	19.500000
67.485953	21.485430	48.006121	19.750000
70.413268	18.733215	48.006121	20.000000
67.982070	24.432948	48.006121	20.250000
74.110573	21.826650	48.006121	20.500000
71.219177	19.045253	48.006121	20.750000
72.281002	22.693171	48.006121	21.000000
73.073442	18.403219	48.006121	21.250000
70.952037	23.604590	48.006121	21.500000
71.311217	23.770710	48.006121	21.750000
65.957195	19.729939	48.006121	22.000000
67.344526	19.655858	48.006121	22.250000
72.557121	24.194991	48.006121	22.500000
69.822866	19.177700	48.006121	22.750000
67.961866	21.040945	48.006121	23.000000
69.753275	19.144027	48.006121	23.250000
71.234891	16.167325	48.006121	23.500000
65.382507	23.548468	48.006121	23.750000
71.320196	18.268527	48.006121	24.000000
71.432440	19.541370	48.006121	24.250000
66.305150	17.985673	48.006121	24.500000
71.820803	20.268708	48.006121	24.750000
